             VARIABLE : Surface temperature anomaly (K)
             DATA SET : GISTEMP Surface Temperature Analysis
             FILENAME : gistemp1200_GHCNv4_ERSSTv5.nc
             FILEPATH : /usr/local/fer_dsets/data/GISTEMP/
             BAD FLAG : -1.E+34       
             SUBSET   : 1455 points (TIME)
             LONGITUDE: 9W(-9)
             LATITUDE : 47N
         	9W   
AUG-1936	-0.24
SEP-1936	0.53
OCT-1936	0.05
NOV-1936	-0.18
DEC-1936	-0.15
JAN-1937	0.15
FEB-1937	0.1
MAR-1937	-0.33
APR-1937	0.07
MAY-1937	0.15
JUN-1937	0.35
JUL-1937	0.3
AUG-1937	0.91
SEP-1937	0.15
OCT-1937	0.07
NOV-1937	0.22
DEC-1937	-0.07
JAN-1938	0.1
FEB-1938	0.03
MAR-1938	0.28
APR-1938	0.52
MAY-1938	0.02
JUN-1938	-0.01
JUL-1938	-0.54
AUG-1938	-0.08
SEP-1938	-0.09
OCT-1938	-0.21
NOV-1938	0.58
DEC-1938	0.2
JAN-1939	0.07
FEB-1939	0.27
MAR-1939	-0.17
APR-1939	0.04
MAY-1939	0.09
JUN-1939	0.75
JUL-1939	-0.09
AUG-1939	0.23
SEP-1939	0.79
OCT-1939	-0.08
NOV-1939	-0.07
DEC-1939	-0.39
JAN-1940	0.2
FEB-1940	-0.11
MAR-1940	0.12
APR-1940	-0.03
MAY-1940	0.31
JUN-1940	0.35
JUL-1940	-0.17
AUG-1940	0.03
SEP-1940	0.04
OCT-1940	-0.28
NOV-1940	-0.12
DEC-1940	-0.11
JAN-1941	-0.65
FEB-1941	-0.7
MAR-1941	-1.2
APR-1941	-0.71
MAY-1941	-0.34
JUN-1941	-0.51
JUL-1941	-0.09
AUG-1941	-0.4
SEP-1941	0.57
OCT-1941	0.65
NOV-1941	0.51
DEC-1941	0.6
JAN-1942	0.41
FEB-1942	0.09
MAR-1942	0.08
APR-1942	0.17
MAY-1942	0.12
JUN-1942	0.16
JUL-1942	0.51
AUG-1942	0.46
SEP-1942	0.43
OCT-1942	-0.02
NOV-1942	0.2
DEC-1942	0.82
JAN-1943	0.64
FEB-1943	0.33
MAR-1943	0.27
APR-1943	1.22
MAY-1943	0.96
JUN-1943	0.55
JUL-1943	0.69
AUG-1943	0.13
SEP-1943	0.16
OCT-1943	-0.43
NOV-1943	-0.46
DEC-1943	-0.69
JAN-1944	0.27
FEB-1944	-1.E+34
MAR-1944	-0.09
APR-1944	0.54
MAY-1944	0.65
JUN-1944	0.4
JUL-1944	0.39
AUG-1944	1.27
SEP-1944	0.82
OCT-1944	0.26
NOV-1944	-0.15
DEC-1944	-0.09
JAN-1945	-0.17
FEB-1945	0.16
MAR-1945	0.26
APR-1945	1.3
MAY-1945	1.23
JUN-1945	0.9
JUL-1945	0.55
AUG-1945	0.19
SEP-1945	0.48
OCT-1945	0.47
NOV-1945	0.57
DEC-1945	0.78
JAN-1946	0.85
FEB-1946	0.85
MAR-1946	0.42
APR-1946	0.52
MAY-1946	0.11
JUN-1946	-0.59
JUL-1946	-0.28
AUG-1946	-0.66
SEP-1946	-0.9
OCT-1946	-0.17
NOV-1946	-0.13
DEC-1946	-0.35
JAN-1947	-0.62
FEB-1947	-1.11
MAR-1947	-0.8
APR-1947	-0.48
MAY-1947	-0.38
JUN-1947	-0.26
JUL-1947	-0.38
AUG-1947	0.58
SEP-1947	0.31
OCT-1947	0.34
NOV-1947	0.5
DEC-1947	-0.05
JAN-1948	0.27
FEB-1948	0.31
MAR-1948	0.61
APR-1948	0.32
MAY-1948	0.47
JUN-1948	0.08
JUL-1948	-0.14
AUG-1948	0.02
SEP-1948	-0.2
OCT-1948	0.3
NOV-1948	0.6
DEC-1948	0.85
JAN-1949	0.48
FEB-1949	0.59
MAR-1949	0.42
APR-1949	0.61
MAY-1949	0.18
JUN-1949	0.35
JUL-1949	1.05
AUG-1949	1.07
SEP-1949	1.44
OCT-1949	1.45
NOV-1949	0.47
DEC-1949	0.18
JAN-1950	0.47
FEB-1950	0.4
MAR-1950	0.51
APR-1950	0.27
MAY-1950	0.35
JUN-1950	0.76
JUL-1950	0.57
AUG-1950	0.02
SEP-1950	-0.63
OCT-1950	-0.7
NOV-1950	-0.25
DEC-1950	-0.58
JAN-1951	-0.29
FEB-1951	-0.48
MAR-1951	-0.4
APR-1951	-0.41
MAY-1951	-0.55
JUN-1951	0.14
JUL-1951	0.48
AUG-1951	-0.14
SEP-1951	-0.08
OCT-1951	-0.06
NOV-1951	-0.16
DEC-1951	0.13
JAN-1952	-0.16
FEB-1952	-0.16
MAR-1952	0.1
APR-1952	0.14
MAY-1952	0.32
JUN-1952	0.99
JUL-1952	0.71
AUG-1952	0.36
SEP-1952	-0.12
OCT-1952	-0.35
NOV-1952	-0.32
DEC-1952	-0.16
JAN-1953	-0.1
FEB-1953	0.2
MAR-1953	0.36
APR-1953	0.23
MAY-1953	0.82
JUN-1953	0.36
JUL-1953	-0.13
AUG-1953	0.1
SEP-1953	0.15
OCT-1953	0.09
NOV-1953	0.43
DEC-1953	0.93
JAN-1954	0.51
FEB-1954	-0.02
MAR-1954	-0.09
APR-1954	0.05
MAY-1954	0.09
JUN-1954	-0.16
JUL-1954	-0.77
AUG-1954	-1.02
SEP-1954	-0.71
OCT-1954	-0.04
NOV-1954	0.43
DEC-1954	0.34
JAN-1955	0.31
FEB-1955	0.09
MAR-1955	-0.04
APR-1955	0.28
MAY-1955	0.42
JUN-1955	0.2
JUL-1955	0.58
AUG-1955	1.44
SEP-1955	0.94
OCT-1955	0.49
NOV-1955	0.52
DEC-1955	0.65
JAN-1956	0.61
FEB-1956	-1.E+34
MAR-1956	-0.04
APR-1956	0.04
MAY-1956	0.13
JUN-1956	-0.56
JUL-1956	-0.31
AUG-1956	-0.64
SEP-1956	-0.8
OCT-1956	-0.02
NOV-1956	-0.17
DEC-1956	-0.01
JAN-1957	0.24
FEB-1957	0.33
MAR-1957	0.53
APR-1957	0.56
MAY-1957	0.3
JUN-1957	0.56
JUL-1957	0.49
AUG-1957	0.27
SEP-1957	-0.07
OCT-1957	0.28
NOV-1957	0.08
DEC-1957	0.12
JAN-1958	0.03
FEB-1958	0.22
MAR-1958	-0.07
APR-1958	-0.12
MAY-1958	0.08
JUN-1958	-0.25
JUL-1958	-0.42
AUG-1958	-0.35
SEP-1958	0.28
OCT-1958	0.12
NOV-1958	0.46
DEC-1958	0.39
JAN-1959	0.25
FEB-1959	0.23
MAR-1959	0.47
APR-1959	0.34
MAY-1959	0.48
JUN-1959	0.39
JUL-1959	0.61
AUG-1959	0.51
SEP-1959	1.14
OCT-1959	1.11
NOV-1959	0.39
DEC-1959	-0.13
JAN-1960	0.05
FEB-1960	0.07
MAR-1960	0.2
APR-1960	0.16
MAY-1960	0.66
JUN-1960	0.83
JUL-1960	0.21
AUG-1960	-0.14
SEP-1960	-1.E+34
OCT-1960	-0.27
NOV-1960	-0.57
DEC-1960	-0.5
JAN-1961	-0.36
FEB-1961	0.12
MAR-1961	0.56
APR-1961	0.85
MAY-1961	0.9
JUN-1961	0.37
JUL-1961	0.27
AUG-1961	-0.04
SEP-1961	0.53
OCT-1961	0.34
NOV-1961	0.11
DEC-1961	0.47
JAN-1962	0.28
FEB-1962	0.18
MAR-1962	-1.E+34
APR-1962	-0.05
